"","DATE","RPQB7YW"
"1","31 Mar 1993",98726
"2","30 Jun 1993",101091
"3","30 Sep 1993",104093
"4","31 Dec 1993",106543
"5","31 Mar 1994",108376
"6","30 Jun 1994",110005
"7","30 Sep 1994",111851
"8","31 Dec 1994",113752
"9","31 Mar 1995",115141
"10","30 Jun 1995",116651
"11","30 Sep 1995",135409
"12","31 Dec 1995",137218
"13","31 Mar 1996",138478
"14","30 Jun 1996",140045
"15","30 Sep 1996",152485
"16","31 Dec 1996",154922
"17","31 Mar 1997",157128
"18","30 Jun 1997",253701
"19","30 Sep 1997",285600
"20","31 Dec 1997",300431
"21","31 Mar 1998",302346
"22","30 Jun 1998",305954
"23","30 Sep 1998",310359
"24","31 Dec 1998",314545
"25","31 Mar 1999",317185
"26","30 Jun 1999",325277
"27","30 Sep 1999",332602
"28","31 Dec 1999",337840
"29","31 Mar 2000",343534
"30","30 Jun 2000",350484
"31","30 Sep 2000",353671
"32","31 Dec 2000",377029
"33","31 Mar 2001",381418
"34","30 Jun 2001",390055
"35","30 Sep 2001",399120
"36","31 Dec 2001",407366
"37","31 Mar 2002",416103
"38","30 Jun 2002",427971
"39","30 Sep 2002",442236
"40","31 Dec 2002",455056
"41","31 Mar 2003",458254
"42","30 Jun 2003",469236
"43","30 Sep 2003",484820
"44","31 Dec 2003",497389
"45","31 Mar 2004",505275
"46","30 Jun 2004",517027
"47","30 Sep 2004",516818
"48","31 Dec 2004",529547
"49","31 Mar 2005",527488
"50","30 Jun 2005",532509
"51","30 Sep 2005",547007
"52","31 Dec 2005",558615
"53","31 Mar 2006",553073
"54","30 Jun 2006",564863
"55","30 Sep 2006",577720
"56","31 Dec 2006",586644
"57","31 Mar 2007",587268
"58","30 Jun 2007",588092
"59","30 Sep 2007",597894
"60","31 Dec 2007",798951
"61","31 Mar 2008",817364
"62","30 Jun 2008",819826
"63","30 Sep 2008",797387
"64","31 Dec 2008",760156
"65","31 Mar 2009",764618
"66","30 Jun 2009",860228
"67","30 Sep 2009",866339
"68","31 Dec 2009",880310
"69","31 Mar 2010",1024070
"70","30 Jun 2010",1027427
"71","30 Sep 2010",1004285
"72","31 Dec 2010",1006856
"73","31 Mar 2011",1007152
"74","30 Jun 2011",1009620
"75","30 Sep 2011",1013925
"76","31 Dec 2011",1015282
"77","31 Mar 2012",1019434
"78","30 Jun 2012",1029436
"79","30 Sep 2012",1033758
"80","31 Dec 2012",1035891
"81","31 Mar 2013",1035158
"82","30 Jun 2013",1037550
"83","30 Sep 2013",1041986
"84","31 Dec 2013",1049851
"85","31 Mar 2014",1055353
"86","30 Jun 2014",1061979
"87","30 Sep 2014",1069752
"88","31 Dec 2014",1075866
"89","31 Mar 2015",1078303
"90","30 Jun 2015",1085316
