"","DATE","RPQTFHD"
"1","31 Mar 1993",46
"2","30 Jun 1993",73
"3","30 Sep 1993",84
"4","31 Dec 1993",74
"5","31 Mar 1994",96
"6","30 Jun 1994",50
"7","30 Sep 1994",65
"8","31 Dec 1994",51
"9","31 Mar 1995",33
"10","30 Jun 1995",21
"11","30 Sep 1995",46
"12","31 Dec 1995",42
"13","31 Mar 1996",39
"14","30 Jun 1996",39
"15","30 Sep 1996",30
"16","31 Dec 1996",41
"17","31 Mar 1997",33
"18","30 Jun 1997",38
"19","30 Sep 1997",60
"20","31 Dec 1997",104
"21","31 Mar 1998",72
"22","30 Jun 1998",40
"23","30 Sep 1998",48
"24","31 Dec 1998",77
"25","31 Mar 1999",43
"26","30 Jun 1999",57
"27","30 Sep 1999",61
"28","31 Dec 1999",58
"29","31 Mar 2000",37
"30","30 Jun 2000",33
"31","30 Sep 2000",34
"32","31 Dec 2000",37
"33","31 Mar 2001",23
"34","30 Jun 2001",25
"35","30 Sep 2001",25
"36","31 Dec 2001",32
"37","31 Mar 2002",14
"38","30 Jun 2002",10
"39","30 Sep 2002",12
"40","31 Dec 2002",15
"41","31 Mar 2003",17
"42","30 Jun 2003",33
"43","30 Sep 2003",27
"44","31 Dec 2003",18
"45","31 Mar 2004",6
"46","30 Jun 2004",5
"47","30 Sep 2004",4
"48","31 Dec 2004",5
"49","31 Mar 2005",7
"50","30 Jun 2005",8
"51","30 Sep 2005",14
"52","31 Dec 2005",14
"53","31 Mar 2006",25
"54","30 Jun 2006",41
"55","30 Sep 2006",44
"56","31 Dec 2006",53
"57","31 Mar 2007",57
"58","30 Jun 2007",38
"59","30 Sep 2007",41
"60","31 Dec 2007",29
"61","31 Mar 2008",35
"62","30 Jun 2008",56
"63","30 Sep 2008",113
"64","31 Dec 2008",204
"65","31 Mar 2009",246
"66","30 Jun 2009",270
"67","30 Sep 2009",263
"68","31 Dec 2009",205
"69","31 Mar 2010",164
"70","30 Jun 2010",189
"71","30 Sep 2010",137
"72","31 Dec 2010",168
"73","31 Mar 2011",156
"74","30 Jun 2011",148
"75","30 Sep 2011",136
"76","31 Dec 2011",149
"77","31 Mar 2012",132
"78","30 Jun 2012",143
"79","30 Sep 2012",124
"80","31 Dec 2012",148
"81","31 Mar 2013",128
"82","30 Jun 2013",130
"83","30 Sep 2013",134
"84","31 Dec 2013",272
"85","31 Mar 2014",136
"86","30 Jun 2014",112
"87","30 Sep 2014",120
"88","31 Dec 2014",106
"89","31 Mar 2015",82
"90","30 Jun 2015",62
